Customer_ID,Customer_Age,Gender,City,Income_Level,Product_Category,Product_Price,Discount_Percentage,Competitor_Price,Brand_Loyalty_Score,Previous_Purchases,Avg_Monthly_Spend,App_Usage_Hours,Delivery_Time_Minutes,Stock_Availability,Ad_Clicked,Festival_Season,Payment_Mode,Membership_Level,Device_Type,Browser_Type,Time_Slot,Weather_Condition,Session_Duration_Minutes,Customer_Rating,Product_Return_Rate,Coupon_Used,Wishlist_Count,Review_Count,Random_Noise_1,Random_Noise_2,Lucky_Number,Will_Buy,Quantity
CUST_100000,56,Male,Chennai,161867,Household,1902.41,42,2241.98,8.02,7,48997.07,1.01,69,1,0,0,Credit Card,Silver,iPhone,Safari,Morning,Sunny,22.62,2.8,0.31,0,19,319,2528,guess,3,1,4
CUST_100001,54,Female,Chennai,18890,Snacks,1367.01,8,1285.77,1.59,9,6956.47,8.29,11,1,0,0,UPI,Silver,iPhone,Chrome,Afternoon,Humid,2.85,4.4,0.18,0,3,269,8629,laugh,87,0,0
CUST_100002,57,Male,Bangalore,235884,Frozen Food,789.58,17,780.27,5.86,6,46749.97,4.23,72,1,1,1,Credit Card,Bronze,iPhone,Edge,Evening,Cloudy,19.35,2.3,0.29,1,2,448,9110,skin,78,1,3
CUST_100003,20,Male,Mumbai,199064,Personal Care,1449.02,54,1554.43,7.94,4,12142.95,4.46,105,1,0,0,UPI,Bronze,Tablet,Chrome,Evening,Cloudy,52.95,3.5,0.12,0,11,43,6450,himself,92,1,6
CUST_100004,42,Female,Chennai,59262,Household,1815.52,0,1757.72,3.05,6,5449.31,11.37,41,1,1,0,Debit Card,Bronze,Tablet,Chrome,Evening,Cloudy,36.96,3.0,0.02,0,0,384,6249,section,53,1,2
CUST_100005,61,Male,Kolkata,140657,Snacks,1971.59,31,2156.0,6.33,9,32051.45,10.44,68,1,1,1,UPI,Silver,Desktop,Chrome,Afternoon,Sunny,56.49,2.6,0.21,1,10,475,9120,second,89,1,2
CUST_100006,67,Female,Delhi,62254,Dairy,1092.07,41,1271.16,3.32,10,18930.48,10.76,42,1,0,0,Credit Card,Silver,Desktop,Firefox,Afternoon,Cloudy,6.99,3.7,0.0,0,17,193,3869,theory,35,1,2
CUST_100007,33,Male,Hyderabad,65108,Household,464.05,32,553.43,1.16,9,16697.26,6.35,17,1,1,0,Cash,Silver,iPhone,Edge,Night,Cloudy,17.57,1.1,0.26,0,13,372,2060,rock,24,1,4
CUST_100008,46,Male,Kolkata,111752,Personal Care,1114.47,30,1333.48,9.67,10,29642.5,2.54,36,1,0,1,UPI,Silver,Android,Firefox,Night,Cloudy,37.08,1.3,0.0,1,19,320,7655,likely,16,1,4
CUST_100009,31,Male,Mumbai,237155,Frozen Food,1775.5,14,1528.13,4.38,5,60899.42,1.41,79,1,0,0,Credit Card,Silver,Tablet,Edge,Night,Rainy,25.27,3.8,0.06,0,17,123,2693,project,19,1,5
CUST_100010,34,Female,Mumbai,88847,Beverages,556.25,27,558.93,7.7,5,32902.25,3.64,57,1,1,0,Wallet,Gold,Tablet,Edge,Evening,Rainy,34.4,1.6,0.05,0,4,46,3141,life,62,1,3
CUST_100011,69,Male,Hyderabad,175196,Dairy,958.86,25,983.18,7.87,8,65996.81,6.93,118,1,0,0,UPI,Bronze,Android,Safari,Afternoon,Humid,35.56,4.8,0.23,0,0,416,6052,peace,51,1,1
CUST_100012,60,Male,Bangalore,118691,Dairy,784.48,32,759.22,6.86,4,31617.96,8.21,102,1,0,1,Wallet,Platinum,Desktop,Chrome,Morning,Cloudy,45.29,4.2,0.4,0,17,496,3143,type,24,1,7
CUST_100013,40,Female,Chennai,153429,Personal Care,1132.5,11,998.81,4.86,9,56290.6,4.51,87,1,0,0,Debit Card,Silver,Tablet,Chrome,Evening,Rainy,36.54,3.2,0.09,1,15,56,2062,western,53,1,1
CUST_100014,59,Male,Kolkata,36689,Personal Care,133.97,30,141.13,1.5,13,4829.37,10.49,95,1,1,1,Wallet,Silver,iPhone,Firefox,Afternoon,Sunny,26.03,4.6,0.04,0,12,241,4709,risk,58,1,3
